,Overseas,Known Local,Unknown Local,Under investigation
04/03,3,4,0,0
05/03,1,2,0,0
06/03,0,3,0,0
07/03,2,6,0,0
08/03,2,2,0,0
09/03,5,1,0,1
10/03,6,4,0,4
11/03,3,1,0,0
12/03,4,6,0,3
13/03,7,2,0,5
14/03,7,0,0,13
15/03,6,5,0,11
16/03,9,6,17,6
17/03,23,10,7,0
18/03,24,9,2,22
19/03,15,0,20,9
20/03,29,10,6,1
21/03,60,23,0,0
22/03,33,39,0,31
23/03,76,24,19,17
24/03,98,19,7,25
25/03,75,2,2,132
26/03,147,45,14,0
27/03,230,57,57,0
28/03,127,38,25,22
29/03,106,35,37,0
30/03,75,25,21,0
31/03,108,42,22,0
01/04,60,16,25,0
02/04,66,33,32,0
03/04,66,38,29,0
04/04,39,46,29,0
05/04,42,27,15,0
06/04,39,17,17,0
07/04,19,19,9,0
08/04,26,27,4,0
