,Overseas,Known Local,Unknown Local,Under investigation
04/03,0,0,0,0
05/03,0,0,0,0
06/03,0,0,0,0
07/03,1,0,0,0
08/03,0,0,0,0
09/03,0,0,0,0
10/03,0,0,0,0
11/03,1,0,0,0
12/03,0,0,0,0
13/03,1,0,0,0
14/03,1,0,0,0
15/03,2,0,0,0
16/03,0,0,0,0
17/03,0,0,0,0
18/03,3,0,0,0
19/03,0,0,0,0
20/03,0,0,0,0
21/03,7,0,0,0
22/03,5,0,0,0
23/03,6,0,0,0
24/03,8,0,0,0
25/03,5,1,0,0
26/03,5,0,0,0
27/03,10,0,1,0
28/03,3,0,1,0
29/03,4,0,0,0
30/03,2,1,0,0
31/03,0,0,0,0
01/04,2,0,0,0
02/04,2,1,0,0
03/04,0,0,0,6
04/04,0,0,0,2
05/04,1,1,0,2
06/04,0,2,0,1
