Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
04/03,7,1,1,2,0,0,0,0
05/03,3,0,2,2,1,0,0,0
06/03,3,0,1,0,0,0,0,0
07/03,8,1,0,0,0,1,0,0
08/03,4,1,1,0,1,0,0,0
09/03,7,3,0,0,2,0,0,0
10/03,14,3,3,0,0,0,0,0
11/03,4,3,2,2,3,1,0,0
12/03,13,6,7,3,0,0,0,1
13/03,14,9,8,4,5,1,0,0
14/03,20,13,11,3,3,1,0,0
15/03,22,8,15,1,1,1,0,0
16/03,37,14,7,9,10,1,0,1
17/03,39,23,10,3,3,0,0,0
18/03,57,27,16,5,4,3,0,1
19/03,40,29,50,5,17,0,0,1
20/03,46,28,40,8,12,0,2,2
21/03,83,51,37,17,26,6,2,3
22/03,97,67,38,33,30,5,0,10
23/03,136,59,60,34,20,6,0,13
24/03,149,56,78,36,35,8,1,7
25/03,211,55,46,27,30,6,0,5
26/03,190,54,50,38,26,5,7,9
27/03,186,54,62,22,24,12,2,9
28/03,212,111,70,30,23,4,1,9
29/03,174,84,31,12,33,4,0,6
30/03,127,52,33,6,44,3,0,1
31/03,114,96,54,32,9,0,4,2
01/04,150,51,38,30,28,2,0,4
02/04,116,68,54,18,8,3,3,3
03/04,91,49,38,11,22,6,4,4
04/04,104,30,27,11,14,2,0,2
05/04,87,20,7,2,17,4,1,3
06/04,57,23,14,,,,1,0
